family,n_train,oracle_auc,gate_auc,cv_auc,k4_auc,oracle_K,gate_K,cv_K
bump,500,0.894651541329726,0.881869904627941,0.846772426640148,0.846772426640148,2,5,4.0
bump,500,0.979929758162807,0.979929758162807,0.973133098659311,0.947701504265828,1,1,5.0
bump,500,0.885342161898361,0.871130252336149,0.878187203981055,0.878187203981055,5,1,3.0
bump,500,0.849750319788694,0.848707193570422,0.849750319788694,0.849750319788694,2,1,3.0
bump,500,0.957709277981337,0.95456136823542,0.95456136823542,0.957709277981337,4,5,5.0
bump,500,0.981660426641707,0.963019352077408,0.966919867679471,0.966919867679471,1,2,4.0
bump,1000,0.904879549718574,0.871695809881176,0.873798123827392,0.873798123827392,5,1,2.0
bump,1000,0.881819482506246,0.871006262312763,0.871006262312763,0.828577817665545,2,5,5.0
bump,1000,0.884007939370621,0.884007939370621,0.841938993892175,0.854359540069575,5,5,3.0
bump,1000,0.987401944257418,0.983599767497466,0.984135503757157,0.976882305096548,3,5,2.0
bump,1000,0.990827890174711,0.947405636081966,0.920627395914906,0.920627395914906,2,5,4.0
bump,200,0.529582259845418,0.490311604871101,0.511091597189995,0.529582259845418,4,5,2.0
bump,200,0.807689692242306,0.746761169029226,0.807689692242306,0.795259381484537,2,1,2.0
bump,1000,0.942052320928371,0.942052320928371,0.921545118047219,0.921545118047219,1,1,3.0
bump,1000,0.804520452045205,0.645704570457046,0.711080108010801,0.636307630763076,2,5,3.0
bump,200,0.661845430426091,0.661845430426091,0.533008617422254,0.604818136088668,2,2,3.0
bump,200,0.819541896926809,0.819541896926809,0.767205621264785,0.801939436373184,1,1,5.0
bump,200,0.662230223022302,0.662230223022302,,,1,1,2.0
bump,200,0.692959129689505,0.664284807069373,0.664284807069373,0.692959129689505,2,1,1.0
bump,1000,0.971594553852075,0.96843778064661,0.962711587497594,0.971594553852075,4,5,2.0
bump,500,0.931819386374477,0.914858733728604,0.931819386374477,0.927925351328162,3,5,3.0
bump,500,0.959806212094542,0.959806212094542,0.959806212094542,0.959582679905906,1,1,1.0
bump,500,0.87732354650494,0.7875636058821,0.710424812770891,0.87732354650494,4,5,2.0
bump,200,0.921639027982916,0.703750235158968,0.703750235158968,0.762117191221266,5,1,1.0
bump,200,0.696177737506238,0.619110912420403,0.618861882287757,0.601779315297151,3,5,1.0
bump,500,0.920775218455925,0.920775218455925,0.915950483323731,0.920279591575443,1,1,2.0
bump,500,0.973381261136161,0.970687072999193,0.973381261136161,0.973381261136161,2,1,3.0
bump,1000,0.968182940964107,0.925603354564374,0.968182940964107,0.953658229253233,3,1,3.0
bump,1000,0.988625948546363,0.974900042424437,0.974900042424437,0.988625948546363,4,5,5.0
bump,500,0.945016125403135,0.93689592239806,0.930990774769369,0.930990774769369,3,5,4.0
bump,500,0.872064077227121,0.820359131714967,0.820359131714967,0.803297674865181,1,5,5.0
bump,300,0.796682889344262,0.752381371670082,0.795505211001537,0.795505211001537,5,1,2.0
bump,1000,0.937689366613764,0.937689366613764,,,1,1,3.0
bump,200,0.943593774375098,0.915091660366641,0.847536890147561,0.943593774375098,4,5,3.0
bump,200,0.924425922146319,0.924425922146319,0.912915351029899,0.912915351029899,5,5,4.0
bump,500,0.811420745682983,0.80500072000288,0.811420745682983,0.811420745682983,2,1,3.0
bump,200,0.780595372107567,0.593768105065666,0.679953470919325,0.679953470919325,3,5,4.0
bump,200,0.943485443485443,0.843077343077343,0.766473766473767,0.768824768824769,3,5,2.0
bump,500,0.571037078614587,0.500348684454076,0.500348684454076,0.531511669673257,5,1,1.0
bump,500,0.899574598298393,0.828263313053252,0.860695942783771,0.860695942783771,5,1,3.0
bump,200,0.684013627595882,0.67004985094817,0.644919962924923,0.644919962924923,3,1,4.0
bump,300,0.848841233137572,0.848841233137572,0.785126058152374,0.785126058152374,1,1,3.0
bump,300,0.8879392626031,0.886186914466602,0.8879392626031,0.8879392626031,2,1,5.0
bump,1000,0.961660159317514,0.95370078598374,0.95370078598374,0.961660159317514,2,1,1.0
bump,500,0.678294713413248,0.678294713413248,0.592562096884863,0.624807301073104,5,5,3.0
bump,500,0.917139314163211,0.907054833114649,0.899253772422607,0.917139314163211,4,5,3.0
bump,500,0.904079171254129,0.879791312180963,0.904079171254129,0.869836352717446,3,5,3.0
bump,200,0.650500450405365,0.650500450405365,0.589215794214793,0.574368932038835,5,5,2.0
bump,1000,0.970624982494328,0.956594436597458,0.970624982494328,0.960031550222272,2,5,2.0
bump,1000,0.99234793917567,0.99234793917567,0.988690476190476,0.988690476190476,1,1,2.0
bump,300,0.941164996684042,0.899198368328447,0.617353915281516,0.941164996684042,4,5,1.0
bump,300,0.911216446314103,0.911216446314103,0.911216446314103,0.863249699519231,5,5,5.0
bump,500,0.9322482437471,0.88578655326367,0.923569994079147,0.875944636027588,5,2,3.0
bump,500,0.927340151534095,0.927340151534095,0.927340151534095,0.854838838738716,5,5,5.0
bump,200,0.637146749131875,0.547791882031012,0.545169004336625,0.545169004336625,1,5,4.0
bump,500,0.923494914698163,0.923494914698163,0.923494914698163,0.910917194801869,1,1,1.0
bump,1000,0.975496698679472,0.975496698679472,0.974336734693878,0.974336734693878,1,1,2.0
bump,500,0.759936621683667,0.759936621683667,0.721486009456733,0.721486009456733,1,1,3.0
bump,200,0.855534162262231,0.796010662809195,0.569902307670731,0.76337008482964,3,5,1.0
bump,200,0.875717347196043,0.833600962866027,0.763777668391502,0.809119113651007,2,5,1.0
bump,200,0.773403896790943,0.773403896790943,0.773403896790943,,1,1,1.0
