family,n_train,oracle_auc,gate_auc,cv_auc,k4_auc,vt_auc,oracle_method,gate_method,cv_method
bump,500,0.908399389862719,0.906689505138656,0.907296141631867,0.908399389862719,0.843841864419494,2,1,5.0
random,500,0.645486707223715,0.554940568674437,0.645486707223715,0.538659805489244,0.645486707223715,6,5,6.0
bump,300,0.8558785,0.714194,0.845565,0.768691,0.714194,3,6,5.0
additive,1000,0.795195218621453,0.778046143583374,0.762836303192686,0.763276856499637,0.723779577328857,2,5,3.0
enclave,1000,0.785318272481136,0.785318272481136,0.780671249939922,0.711789979813839,0.752639420689213,5,5,3.0
cross,300,0.684123010781123,0.666975185286467,0.666975185286467,0.684123010781123,0.666975185286467,4,6,6.0
enclave,500,0.855942234729642,0.855942234729642,0.855942234729642,0.788758582815194,0.855942234729642,6,6,6.0
linear,200,0.888094066437022,0.888094066437022,0.888094066437022,0.723519809882737,0.888094066437022,6,6,6.0
bump,1000,0.988769090296314,0.95123304987704,0.967471865221083,0.965159677933913,0.95123304987704,3,6,5.0
enclave,300,0.946812361431609,0.946812361431609,0.946812361431609,,0.946812361431609,6,6,6.0
additive,1000,0.929489372856462,0.906780881946862,0.925570976352555,0.906780881946862,0.86980798706574,1,4,2.0
s_shaped,500,0.708787379086412,0.654100886907982,0.708787379086412,0.656197905781152,0.708787379086412,6,5,6.0
enclave,200,0.580075220676986,0.580075220676986,0.480774326968943,0.480774326968943,0.580075220676986,6,6,2.0
radial,1000,0.910502407643299,0.910502407643299,0.910502407643299,0.849114993506956,0.910502407643299,6,6,6.0
additive,1000,0.810394196764334,0.754679173801027,0.802628078443296,0.802628078443296,0.732561488854395,3,5,4.0
bump,200,0.507439119025904,0.507439119025904,0.504036564585033,0.504036564585033,0.507439119025904,6,6,3.0
enclave,500,0.802335742430984,0.802335742430984,0.624207823755066,0.624207823755066,0.802335742430984,6,6,3.0
random,300,0.941244755113471,0.819345404785819,0.819345404785819,0.941244755113471,0.819345404785819,4,6,6.0
enclave,500,0.677136309838584,0.677136309838584,0.677136309838584,0.570094432273174,0.677136309838584,6,6,6.0
linear,300,0.711454044441596,0.64127759576411,0.654163796279979,0.634156867300021,0.711454044441596,6,5,2.0
linear,500,0.979069641828308,0.917095776518789,0.917095776518789,0.955515111868638,0.834237564816593,3,5,5.0
enclave,1000,0.854069372681505,0.854069372681505,0.854069372681505,0.75719768481717,0.854069372681505,6,6,6.0
bump,500,0.931909775610225,0.929534843679928,0.929534843679928,0.929534843679928,0.875517529950669,1,5,4.0
radial,200,0.866095057277947,0.866095057277947,0.866095057277947,0.786752458948007,0.866095057277947,6,6,6.0
radial,200,0.609973878522329,0.609973878522329,0.609973878522329,0.52429420299798,0.609973878522329,6,6,6.0
linear,500,0.882839031356125,0.882839031356125,0.778051112204449,0.870658982635931,0.778051112204449,5,5,6.0
cross,200,0.49152338795268,0.436155419222904,0.436155419222904,0.457031917372059,0.436155419222904,1,6,6.0
linear,1000,0.942379347631465,0.942379347631465,0.931634242296024,0.91708803844311,0.942379347631465,6,6,5.0
cross,300,0.515352727576957,0.502148208533862,0.513476934943614,0.495130183171635,0.502148208533862,5,6,2.0
linear,500,0.752956989516151,0.656795700451737,0.656795700451737,0.626865776127866,0.752956989516151,6,5,5.0
radial,500,0.566616058736928,0.540846469184689,0.540846469184689,,0.540846469184689,1,6,6.0
enclave,1000,0.836354638987808,0.836354638987808,0.836354638987808,0.690261674306453,0.836354638987808,6,6,6.0
enclave,500,0.698991577980936,0.696647294322613,0.696647294322613,0.646064173765026,0.696647294322613,5,6,6.0
bump,500,0.914186604713894,0.648623121631343,0.914186604713894,0.914186604713894,0.648623121631343,2,6,4.0
additive,200,0.771802702397004,0.767955505240536,0.647365117878281,0.771802702397004,0.647365117878281,4,5,6.0
cross,200,0.760329151867573,0.648478599239761,0.715558331909233,0.694868851929001,0.648478599239761,5,6,2.0
cross,200,0.612278287507817,0.491111927482161,0.491111927482161,0.50062382123883,0.546154239926767,1,5,5.0
cross,500,0.766477261837634,0.655973514930635,0.766477261837634,,0.655973514930635,1,6,1.0
radial,500,0.880049528618861,0.862259544944798,0.841329957984397,0.841329957984397,0.674366956832107,3,5,4.0
radial,1000,0.811556329849013,0.581561928157822,0.7913836178444,0.811556329849013,0.7913836178444,4,5,6.0
radial,500,0.807484650816977,0.807484650816977,0.807484650816977,0.74822184724586,0.807484650816977,6,6,6.0
cross,300,0.566410510386298,0.566410510386298,0.535195532404788,0.523835754182111,0.566410510386298,6,6,2.0
s_shaped,1000,0.978582517124384,0.974329928461686,0.978582517124384,0.965751232315473,0.932710773958133,3,5,3.0
bump,500,0.963475185106664,0.952867803240917,0.952867803240917,0.963475185106664,0.825441715901773,4,5,5.0
random,500,0.804660831805081,0.793759126701186,0.793759126701186,0.804660831805081,0.793759126701186,4,6,6.0
radial,500,0.767751551908032,0.767751551908032,0.767751551908032,0.681755095301211,0.767751551908032,6,6,6.0
cross,1000,0.717373790947564,0.663102667876096,0.663102667876096,0.717373790947564,0.573046405313452,4,5,5.0
additive,500,0.504663384172933,0.504365476337105,0.504663384172933,0.504663384172933,0.504365476337105,2,6,5.0
additive,200,0.838257665545477,0.731355599096247,0.731355599096247,0.827641371391765,0.838257665545477,6,5,5.0
s_shaped,1000,0.97117458755479,0.960228551199009,0.904640827400543,0.97117458755479,0.714045988253424,4,5,3.0
